uuid,playerName,label,blocks_mined,crops_harvested,logs_broken,fish_caught,mobs_killed,blocks_placed,items_enchanted,items_crafted,potions_brewed,animals_bred
7d726f2b-ec35-4fe9-b7eb-8f6ce24ae353,TaylorCodes41,farmer,7997,9539,2190,1010,5721,8871,9088,3146,6017,6901
dafa9da1-bb79-46a6-90f8-c9746229e562,RileyEnchants28,farmer,1629,9657,7533,8190,6562,8287,3470,2762,6471,3882
88e90789-0f55-4e92-a1d5-fe7d2de74160,SydneyRides,lumberjack,2410,4905,9218,4650,2156,4956,3599,7266,4502,8872
3826dcbf-a3b5-439e-8d19-c48da8ee4e55,DakotaWins,miner,8737,5954,8485,8597,1906,2900,6339,8294,1471,7853
76d2db4f-6d81-4862-8317-8a917ffcddfd,RowanChills,lumberjack,3516,2926,9999,3635,3566,5774,9380,2212,7379,9617
9044e1b3-ad46-422d-a28b-8f87fc8af89e,JesseRides41,hunter,1335,4618,6642,8787,9608,9530,2788,6544,7754,2054
422d5de5-3210-4536-9d6b-6b4f3abbf54c,AlexWalks61,crafter,6792,5915,3799,3541,1292,8584,4164,9442,5252,7350
26c3adb2-30c8-4cd3-9dc9-e00446b7a169,ShawnPlays98,builder,4869,5093,5191,6219,7872,8217,6562,1260,6203,2574
304a0bd1-7b76-44d7-96d5-472185119132,HarperTrades3,fisherman,5500,2689,6857,9504,7045,4768,6824,5964,5104,3141
30d4db9d-b797-4e14-9833-273c60e4e5af,JordanCodes,hunter,2346,1634,8614,4033,9058,3537,5743,8192,3461,2435
3c6a5dba-1467-40e4-b085-fa7b983803aa,FinleyChills,fisherman,8085,2254,4541,9240,2824,5139,4355,8179,2888,1828
56d5b0f7-6356-4f06-88cc-7660c2d7a8c0,ReeseQuests3,crafter,3067,8134,6511,9262,9231,8873,2444,9944,7866,4004
65db1f85-88b1-4412-b7cc-29d90286517e,LoganFishes,miner,8345,2303,3558,2851,5854,6075,7943,7635,5002,6550
72389ea2-b848-46f0-b6b0-74f94797fd6a,CameronHeals,fisherman,9180,8964,2916,9189,8608,8456,2991,6425,4191,2683
7dbad0e1-41b6-4226-b54e-8bd94052a35c,ReeseFights57,farmer,4336,9658,8622,4186,3855,8068,5407,7799,8061,5488
887a9f6a-bd81-4988-afaa-5d88145a3e82,LaneExplores16,farmer,7453,9281,6650,4296,1719,4487,5559,4870,5731,9198
5e077b37-7467-4e8c-bc0f-be204f6e9740,AlexWrites,builder,3334,7461,5475,9285,6838,9380,6205,2461,1521,8197
314649ac-7bfa-4609-b5a9-86bee657f025,CameronFarms,animal breeder,3466,5783,5065,4027,6659,3047,7646,2377,7813,8696
5df1de59-b1a8-4eef-94d6-b4ed293e0ad2,HaydenBuilds,animal breeder,6296,1563,7583,8447,7614,4190,5194,1946,1044,8851
2e8327e1-9767-4e6b-b933-6da144ae32f9,SkylerFishes,animal breeder,6916,9053,5974,1604,1988,6259,4047,2479,8899,9508
c3038c90-2349-4dc4-a32d-13c59c244d5a,SydneyWrites,builder,1074,4884,3355,1248,7423,9552,5411,8035,1070,9088
60cc0f9c-8e9b-4e5a-858a-71c1efd132e6,ReeseWrites96,miner,8913,2078,4862,3172,2872,8327,4408,7287,7770,1981
0a77c6d5-8f3d-4483-873c-6cfe31395a66,RileyDreams,miner,9410,5598,1704,5775,3694,1945,1602,6208,4684,4121
b81e1436-935c-42e3-ab3e-6038eec81102,SydneyWalks,fisherman,7583,1156,1665,9185,7948,1269,7007,4753,5239,3178
d4b60a29-a03e-4487-99db-1a1143290bb2,CharlieFishes11,lumberjack,2622,6306,9710,5430,1720,3906,5048,8136,1108,1848
63603bc3-f6b4-4bf0-b275-fca18d414440,AlexTrades19,lumberjack,1644,6439,9637,1904,8924,5804,2428,6767,8212,8293
71cc2900-e399-4e8f-9aab-df871c38cdc8,FinleyCrafts92,fisherman,5017,5750,3948,8816,4966,7682,5834,8693,8328,7643
9820ebb7-1d11-4d8c-b1e5-5a8e8221be40,JordanHeals,crafter,2557,7209,6375,2171,4287,7431,4674,8497,4584,6723
16682289-b0a1-4add-bbe4-db81e0a699db,EmersonCrafts38,lumberjack,2040,3896,9045,4866,2205,5101,5324,4551,8702,6024
aed4765a-8d48-4150-b5b7-6dd4c428bbbd,MorganEnchants,miner,9969,3008,8379,4521,7988,5278,6122,9312,3900,9501
c338f6a2-86eb-48ec-bf40-4a56933032e9,AlexBreeds,farmer,6154,8711,1774,5352,3250,7700,3063,3397,4937,8161
b74ecbb2-08d7-4f96-a810-ddf5f260012c,ParkerFights,builder,5526,8356,8447,3586,7527,9891,1964,5674,1085,9002
b1071c35-d071-4a49-9c7a-b6fbcfcfd9a0,HarperFishes,hunter,7828,6464,3780,1091,8715,6958,4488,5979,3720,7742
24e92eef-39d1-401c-aae1-ba6da352d409,ShawnDraws,farmer,2552,9829,8813,4671,3868,8375,8330,6617,7729,4944
11f0131f-432d-497c-88c0-135fb3e42e7d,ShawnHeals,lumberjack,3690,6994,9547,5816,2972,8824,5187,7096,6063,3881
5c019b1f-d18d-4e97-8c21-0e4515f3b336,TaylorWalks73,alchemist,8804,2696,3932,7336,8934,1946,2296,2174,9775,4587
87eae4cb-0d79-408a-af21-fe6b236110bf,ReeseSneaks,builder,3182,3912,4035,4157,2640,7647,3633,5745,5121,4964
ac74facc-5ab6-46ac-9993-6215d7eb61f0,JordanRuns,hunter,2169,4521,7763,8998,9368,6070,1833,8629,5469,7576
7bc768c7-a4e9-4a6b-8eb0-f95c28c7c7ed,EmersonChills,farmer,6225,9391,3721,9167,1756,2059,4730,6180,6195,2104
5cf9310b-5beb-4d9c-a3ce-4a416f98a9d3,CharlieSurvives85,lumberjack,8976,2377,9368,4689,5931,2958,9367,2018,2471,3111
c9db8016-344e-4d17-be2b-98f4dd1188f5,RileyGuards,builder,4971,1499,3225,8046,5537,9180,2177,1542,4843,6349
fb31973f-09f1-4439-9c80-992badc2768a,ParkerCrafts84,crafter,2144,2935,1209,8818,6963,6438,2550,8991,3758,7116
7d3355d6-c452-4cf4-84a1-53ee746dec43,ReeseBuilds72,lumberjack,6469,4862,9984,3598,7051,7504,8396,3131,6977,2596
e9b1b296-1712-4d5c-9a25-8334aec38c67,QuinnBreeds75,lumberjack,3645,3364,9679,1887,2826,1133,6995,8916,8865,1911
2349e38c-5a57-4ec8-af12-65803a12902c,DrewChats65,miner,9971,9047,4234,1637,6527,6592,8320,4602,9281,2275
57dc00e3-c727-4f95-bccb-d19d1840519c,JesseBrews27,hunter,5529,2217,2494,4459,9833,9222,1093,4376,2136,4727
8f86822c-3715-4f2b-8c30-9e2b7b1f0f01,AveryDreams30,fisherman,2212,3216,9353,9951,3004,8077,2978,5899,6710,3071
bddc8b60-9056-4280-844a-5809f797316b,CameronWalks5,crafter,5906,5581,7674,6137,7421,5641,1301,9407,2906,4222
9c4c6458-6df4-4196-bf6b-fada29c295aa,ShawnChills,farmer,6742,7947,3398,3598,6450,3295,3194,4094,7085,4654
b11ea74e-79b1-44ea-a90b-e4468af1f67e,CameronWalks,animal breeder,8866,1098,8478,5263,4586,2051,4105,6437,2519,9035
e825ddcb-214d-41ee-8cd8-302654514231,CameronWrites88,alchemist,5917,2665,1582,2375,7205,2574,8840,7576,9856,5609
a701efa0-e58f-4a04-bf81-6d6718fb8a8e,HaydenFishes68,crafter,3341,7545,2930,7387,8813,2679,2151,9373,6086,7427
4f2c4406-c71d-4c1e-ad73-201ad242a107,CameronChats,hunter,3665,4746,4911,1753,9424,7030,2430,1362,7596,1392
441fda32-1041-4ae4-ac4a-cbf8e88a0b7b,ParkerMines,hunter,2198,3156,9786,2475,9951,7925,4468,6526,8971,3170
7147933d-d580-40f6-940d-bba752c618fa,AlexTrades,enchanter,4307,3676,2101,4638,9448,4994,9480,1720,3368,7761
f46168ce-4212-409f-9278-61a644c965ca,CaseyDreams13,enchanter,4733,9428,8799,8746,1170,9097,9955,5515,2829,8494
dd373447-6f4c-4e76-bcd6-11d79652f6e3,ParkerLaughs,fisherman,5554,2254,3097,9683,5642,7856,1506,4591,3019,5306
05b21fd2-33d8-4801-aedf-baf952c24775,ParkerDraws,crafter,3185,9080,1543,1313,6292,1918,1133,9589,9110,3097
7f59a80c-f045-4789-8301-83a62a51b9d5,JordanChills88,builder,4954,3726,9394,3789,1128,9441,1639,7248,4175,8175
08939559-ee62-499d-b7ee-bf7645488639,ReeseSneaks76,farmer,3348,8030,6968,5928,2532,7825,8001,5439,3864,6668
3e89b59a-f5ed-4665-be4c-54c0db809d7b,FinleySurvives,builder,4254,2391,6954,2414,7846,8289,3867,6588,4906,4561
a69ae02f-3f10-45f8-8199-7d2bbac3adc5,HaydenLaughs96,miner,9842,7605,9060,5855,9112,8029,6123,7722,1269,1359
416a00cb-0521-4e02-ae73-bea325316bc1,RowanFights21,lumberjack,1844,4005,6941,4426,5331,1278,3893,6175,1307,3029
f13ec61e-aae7-45b1-87c2-f44a15a4c2b8,SydneyPlays51,builder,5551,8867,9209,8263,1952,9624,3031,1670,6176,9264
537bbe66-b898-4724-8752-31832b2edbc5,DakotaTrades,animal breeder,3913,2634,4904,7051,1525,6324,1970,3203,4950,8965
1e031d7d-d002-420a-99e0-77261d776907,EmersonSurvives,enchanter,2802,8626,2157,9051,7311,3856,9907,8609,1814,9098
7b4ac516-d5d5-4de5-b603-605b3f087b27,DakotaTravels86,fisherman,3483,9658,4859,9669,8753,6357,9247,7654,4218,9299
c39c4ff1-1c3e-4cfc-ae53-473ba06edb84,SamPlays,builder,1954,9800,2691,7041,2140,9850,1512,1826,6092,8502
9f14da14-81f7-48a9-8224-dec79909fb8b,AveryCrafts,builder,3859,4897,2988,1842,6170,9988,6845,9299,3090,3349
